datetime,m_0,m_1
2026-06-02 05:30:00,-0.00863986024620254,0.0
2026-06-03 05:30:00,0.011844018520351628,0.0
2026-06-08 05:30:00,-0.0041050422953404645,0.0
2026-06-09 05:30:00,0.016928904450382382,0.0
2026-06-10 05:30:00,-0.0003850826974895363,0.0
2026-06-11 05:30:00,0.00704904229946702,0.0
2026-06-12 05:30:00,0.015545314575545229,0.0
2026-06-15 05:30:00,0.008136562375118409,0.0
2026-06-16 05:30:00,0.0,0.00020038311168328542
2026-06-17 05:30:00,0.0,0.0024291024226917655
2026-06-18 05:30:00,0.0,-0.006577997255039257
2026-06-19 05:30:00,0.0,-0.0013981656983513464
2026-06-22 05:30:00,0.0,-0.0006956231468097427
2026-06-23 05:30:00,0.0,-0.012344402648274433
2026-06-24 05:30:00,0.0,-0.019042783780611038
2026-06-25 05:30:00,0.0,0.0052159539849060315
2026-06-29 05:30:00,0.0,0.0077753984477100775
2026-06-30 05:30:00,0.0,0.007885403093672866
2026-07-01 05:30:00,0.0,-0.008184597040123675
2026-07-09 05:30:00,0.006507284907949519,0.0
2026-07-10 05:30:00,0.007672552849763449,0.0
2026-07-14 05:30:00,0.006202104005443301,0.0
