datetime,m_0,m_1,m_2
2026-05-12 05:30:00,0.01426089383119891,0.0,0.0
2026-05-21 05:30:00,-0.007558356360981137,0.0,0.0
2026-05-22 05:30:00,0.0018320051370441103,0.0,0.0
2026-05-26 05:30:00,-0.0039660233043520825,0.0,0.0
2026-05-29 05:30:00,0.014627118062601122,0.0,0.0
2026-06-02 05:30:00,0.0,0.010751756736686352,0.0
2026-06-03 05:30:00,-0.0006420064101606889,-0.0006420064101606889,0.0
2026-06-04 05:30:00,0.005559703124026833,0.005559703124026833,0.0
2026-06-05 05:30:00,0.004580878190890138,0.004580878190890138,0.0
2026-06-08 05:30:00,-0.0020327000480920973,0.0016327000480920973,0.0
2026-06-09 05:30:00,0.0005287485946330881,-0.0009287485946330881,0.0
2026-06-10 05:30:00,0.0,-0.0010177688253611634,0.0
2026-06-11 05:30:00,0.0,0.0022757189106835532,0.0
2026-06-12 05:30:00,0.0,0.008784497630544395,0.0
2026-06-15 05:30:00,0.0,-0.005659696433373445,0.0
2026-06-16 05:30:00,-0.0029273981248876648,0.0025273981248876646,0.0
2026-06-24 05:30:00,0.0,0.0,-0.009691170710797796
2026-06-25 05:30:00,0.0,0.0,-0.0030952347792926904
2026-06-29 05:30:00,0.0,0.0,0.004600149615052937
2026-06-30 05:30:00,0.0,0.0,-0.007119925682578027
2026-07-01 05:30:00,0.0,0.0,0.004327641839260224
2026-07-02 05:30:00,0.0,0.0,0.004516941925509721
2026-07-03 05:30:00,0.0,0.0,0.004099372529553178
2026-07-06 05:30:00,0.0,0.0,0.0048808722644028335
2026-07-07 05:30:00,0.0,0.0,-0.002887573192939142
2026-07-08 05:30:00,0.0,0.0,-0.015760882209274286
2026-07-14 05:30:00,0.0,0.0,0.0004627056672760814
