datetime,open,high,low,close,volume
2025-02-10 05:30:00,50052.5,50155.65,49703.1,49981.0,0
2025-02-11 05:30:00,49812.15,49906.75,49177.4,49403.4,0
2025-02-12 05:30:00,49402.25,49702.35,48734.35,49479.45,0
2025-02-13 05:30:00,49469.35,49836.1,49276.1,49359.85,0
2025-02-14 05:30:00,49485.65,49592.95,48719.75,49099.45,0
2025-02-17 05:30:00,48880.4,49319.0,48525.6,49258.9,0
2025-02-18 05:30:00,49211.85,49328.55,48814.95,49087.3,0
2025-02-19 05:30:00,48895.35,49628.25,48804.0,49570.1,0
2025-02-20 05:30:00,49314.1,49455.8,49150.95,49334.55,0
2025-02-21 05:30:00,49127.95,49306.55,48764.0,48981.2,0
2025-02-24 05:30:00,48619.8,48748.4,48281.9,48651.95,0
2025-02-25 05:30:00,48691.2,48862.15,48534.15,48608.35,0
2025-02-27 05:30:00,48732.2,48972.55,48627.1,48743.8,0
2025-02-28 05:30:00,48437.55,48574.5,48078.7,48344.7,0
2025-03-03 05:30:00,48478.6,48574.7,47841.3,48114.3,0
2025-03-04 05:30:00,47942.5,48374.9,47924.75,48245.2,0
2025-03-05 05:30:00,48241.3,48657.65,48190.25,48489.95,0
2025-03-06 05:30:00,48760.0,48839.1,48299.4,48627.7,0
2025-03-07 05:30:00,48463.8,48709.05,48359.35,48497.5,0
2025-03-10 05:30:00,48312.0,48599.15,48124.65,48216.8,0
2025-03-11 05:30:00,47874.8,48029.05,47702.9,47853.95,0
2025-03-12 05:30:00,47894.4,48222.15,47844.95,48056.65,0
2025-03-13 05:30:00,48219.15,48352.45,48006.1,48060.4,0
2025-03-17 05:30:00,48219.55,48481.35,48196.1,48354.15,0
2025-03-18 05:30:00,48792.9,49400.3,48629.45,49314.5,0
2025-03-19 05:30:00,49375.4,49807.55,49324.8,49702.6,0
2025-03-20 05:30:00,49947.6,50155.3,49771.65,50062.85,0
2025-03-21 05:30:00,49927.1,50672.15,49891.95,50593.55,0
2025-03-24 05:30:00,50982.7,51801.15,50795.9,51704.95,0
2025-03-25 05:30:00,51874.2,52063.95,51429.6,51607.95,0
2025-03-26 05:30:00,51640.05,51875.8,51069.15,51209.0,0
2025-03-27 05:30:00,51084.7,51714.35,51050.85,51575.85,0
2025-03-28 05:30:00,51608.4,51839.1,51335.35,51564.85,0
2025-04-01 05:30:00,51178.15,51683.85,50742.0,50827.5,0
2025-04-02 05:30:00,50966.9,51404.2,50908.35,51348.05,0
2025-04-03 05:30:00,50910.0,51661.6,50906.65,51597.35,0
2025-04-04 05:30:00,51711.6,51893.6,51360.4,51502.7,0
2025-04-07 05:30:00,49336.1,50426.25,49156.95,49860.1,0
2025-04-08 05:30:00,50388.55,50793.7,50030.8,50511.0,0
2025-04-09 05:30:00,50487.1,50496.9,49910.85,50240.15,0
2025-04-11 05:30:00,50634.1,51244.7,50634.1,51002.35,0
2025-04-15 05:30:00,52299.0,52486.35,51863.3,52379.5,0
2025-04-16 05:30:00,52690.9,53164.45,52471.35,53117.75,0
2025-04-17 05:30:00,53153.75,54407.2,53084.9,54290.2,0
2025-04-21 05:30:00,54891.25,55461.65,54674.95,55304.5,0
2025-04-22 05:30:00,55414.3,55961.2,55243.55,55647.2,0
2025-04-23 05:30:00,56097.1,56098.7,55162.5,55370.05,0
2025-04-24 05:30:00,55103.9,55550.45,55088.4,55201.4,0
2025-04-25 05:30:00,55233.55,55350.55,54176.45,54664.05,0
2025-04-28 05:30:00,54610.3,55577.4,54582.35,55432.8,0
2025-04-29 05:30:00,55524.35,55957.75,55262.4,55391.25,0
2025-04-30 05:30:00,55382.4,55478.25,54723.7,55087.15,0
2025-05-02 05:30:00,55100.95,55691.95,54994.4,55115.35,0
2025-05-05 05:30:00,55065.8,55345.5,54786.5,54919.5,0
2025-05-06 05:30:00,54918.25,55036.95,54172.95,54271.4,0
2025-05-07 05:30:00,54013.4,54684.3,53919.9,54610.9,0
2025-05-08 05:30:00,54801.75,54937.25,54108.0,54365.65,0
2025-05-09 05:30:00,53595.95,54054.8,53483.05,53595.25,0
2025-05-12 05:30:00,54658.75,55466.3,54558.05,55382.85,0
2025-05-13 05:30:00,55233.5,55499.65,54888.5,54940.85,0
2025-05-14 05:30:00,55008.55,55208.6,54491.0,54801.3,0
2025-05-15 05:30:00,54853.7,55490.55,54442.3,55355.6,0
2025-05-16 05:30:00,55276.0,55418.9,55170.25,55354.9,0
2025-05-19 05:30:00,55326.05,55695.55,55296.55,55420.7,0
2025-05-20 05:30:00,55445.3,55568.35,54829.45,54877.35,0
2025-05-21 05:30:00,55060.2,55336.85,54690.8,55075.1,0
2025-05-22 05:30:00,54875.9,54996.1,54576.6,54941.3,0
2025-05-23 05:30:00,54959.3,55441.3,54854.5,55398.25,0
2025-05-26 05:30:00,55534.9,55875.75,55307.5,55572.0,0
2025-05-27 05:30:00,55458.95,55831.35,55037.85,55352.8,0
2025-05-28 05:30:00,55328.6,55521.8,55235.55,55417.0,0
2025-05-29 05:30:00,55571.4,55782.75,55096.45,55546.05,0
2025-05-30 05:30:00,55615.55,55813.3,55356.6,55749.7,0
2025-06-02 05:30:00,55598.25,55966.3,55400.55,55903.4,0
2025-06-03 05:30:00,56104.8,56161.4,55455.8,55599.95,0
2025-06-04 05:30:00,55650.35,55791.0,55408.35,55676.85,0
2025-06-05 05:30:00,55806.75,56010.15,55580.45,55760.85,0
