datetime,open,high,low,close,volume
2025-02-10 05:30:00,23543.8,23568.6,23316.3,23381.6,0
2025-02-11 05:30:00,23383.55,23390.05,22986.65,23071.8,0
2025-02-12 05:30:00,23050.8,23144.7,22798.35,23045.25,0
2025-02-13 05:30:00,23055.75,23235.5,22992.2,23031.4,0
2025-02-14 05:30:00,23096.45,23133.7,22774.85,22929.25,0
2025-02-17 05:30:00,22809.9,22974.2,22725.45,22959.5,0
2025-02-18 05:30:00,22963.65,22992.5,22801.5,22945.3,0
2025-02-19 05:30:00,22847.25,23049.95,22814.85,22932.9,0
2025-02-20 05:30:00,22821.1,22923.85,22812.75,22913.15,0
2025-02-21 05:30:00,22857.2,22921.0,22720.3,22795.9,0
2025-02-24 05:30:00,22609.35,22668.05,22518.8,22553.35,0
2025-02-25 05:30:00,22516.45,22625.3,22513.9,22547.55,0
2025-02-27 05:30:00,22568.95,22613.3,22508.4,22545.05,0
2025-02-28 05:30:00,22433.4,22450.35,22104.85,22124.7,0
2025-03-03 05:30:00,22194.55,22261.55,22004.7,22119.3,0
2025-03-04 05:30:00,21974.45,22105.05,21964.6,22082.65,0
2025-03-05 05:30:00,22073.05,22394.9,22067.8,22337.3,0
2025-03-06 05:30:00,22476.35,22556.45,22245.85,22544.7,0
2025-03-07 05:30:00,22508.65,22633.8,22464.75,22552.5,0
2025-03-10 05:30:00,22521.85,22676.75,22429.05,22460.3,0
2025-03-11 05:30:00,22345.95,22522.1,22314.7,22497.9,0
2025-03-12 05:30:00,22536.35,22577.4,22329.55,22470.5,0
2025-03-13 05:30:00,22541.5,22558.05,22377.35,22397.2,0
2025-03-17 05:30:00,22353.15,22577.0,22353.15,22508.75,0
2025-03-18 05:30:00,22662.25,22857.8,22599.2,22834.3,0
2025-03-19 05:30:00,22874.95,22940.7,22807.95,22907.6,0
2025-03-20 05:30:00,23036.6,23216.7,22973.95,23190.65,0
2025-03-21 05:30:00,23168.25,23402.7,23132.8,23350.4,0
2025-03-24 05:30:00,23515.4,23708.75,23433.5,23658.35,0
2025-03-25 05:30:00,23751.5,23869.6,23601.4,23668.65,0
2025-03-26 05:30:00,23700.95,23736.5,23451.7,23486.85,0
2025-03-27 05:30:00,23433.95,23646.45,23412.2,23591.95,0
2025-03-28 05:30:00,23600.4,23649.2,23450.2,23519.35,0
2025-04-01 05:30:00,23341.1,23565.15,23136.4,23165.7,0
2025-04-02 05:30:00,23192.6,23350.0,23158.45,23332.35,0
2025-04-03 05:30:00,23150.3,23306.5,23145.8,23250.1,0
2025-04-04 05:30:00,23190.4,23214.7,22857.45,22904.45,0
2025-04-07 05:30:00,21758.4,22254.0,21743.65,22161.6,0
2025-04-08 05:30:00,22446.75,22697.2,22270.85,22535.85,0
2025-04-09 05:30:00,22460.3,22468.7,22353.25,22399.15,0
2025-04-11 05:30:00,22695.4,22923.9,22695.4,22828.55,0
2025-04-15 05:30:00,23368.35,23368.35,23207.0,23328.55,0
2025-04-16 05:30:00,23344.1,23452.2,23273.05,23437.2,0
2025-04-17 05:30:00,23401.85,23872.35,23298.55,23851.65,0
2025-04-21 05:30:00,23949.15,24189.55,23903.65,24125.55,0
2025-04-22 05:30:00,24185.4,24242.6,24072.0,24167.25,0
2025-04-23 05:30:00,24357.6,24359.3,24119.95,24328.95,0
2025-04-24 05:30:00,24277.9,24347.85,24216.15,24246.7,0
2025-04-25 05:30:00,24289.0,24365.45,23847.85,24039.35,0
2025-04-28 05:30:00,24070.25,24355.1,24054.05,24328.5,0
2025-04-29 05:30:00,24370.7,24457.65,24290.75,24335.95,0
2025-04-30 05:30:00,24342.05,24396.15,24198.75,24334.2,0
2025-05-02 05:30:00,24311.9,24589.15,24238.5,24346.7,0
2025-05-05 05:30:00,24419.5,24526.4,24400.65,24461.15,0
2025-05-06 05:30:00,24500.75,24509.65,24331.8,24379.6,0
2025-05-07 05:30:00,24233.3,24449.6,24220.0,24414.4,0
2025-05-08 05:30:00,24431.5,24447.25,24150.2,24273.8,0
2025-05-09 05:30:00,23935.75,24164.25,23935.75,24008.0,0
2025-05-12 05:30:00,24420.1,24944.8,24378.85,24924.7,0
2025-05-13 05:30:00,24864.05,24973.8,24547.5,24578.35,0
2025-05-14 05:30:00,24613.8,24767.55,24535.55,24666.9,0
2025-05-15 05:30:00,24694.45,25116.25,24494.45,25062.1,0
2025-05-16 05:30:00,25064.65,25070.0,24953.05,25019.8,0
2025-05-19 05:30:00,25005.35,25062.95,24916.65,24945.45,0
2025-05-20 05:30:00,24996.2,25010.35,24669.7,24683.9,0
2025-05-21 05:30:00,24744.25,24946.2,24685.35,24813.45,0
2025-05-22 05:30:00,24733.95,24737.5,24462.4,24609.7,0
2025-05-23 05:30:00,24639.5,24909.05,24614.05,24853.15,0
2025-05-26 05:30:00,24919.35,25079.2,24900.5,25001.15,0
2025-05-27 05:30:00,24956.65,25062.9,24704.1,24826.2,0
2025-05-28 05:30:00,24832.5,24864.25,24737.05,24752.45,0
2025-05-29 05:30:00,24825.1,24892.6,24677.3,24833.6,0
2025-05-30 05:30:00,24812.6,24863.95,24717.4,24750.7,0
2025-06-02 05:30:00,24669.7,24754.4,24526.15,24716.6,0
2025-06-03 05:30:00,24786.3,24845.1,24502.15,24542.5,0
2025-06-04 05:30:00,24560.45,24644.25,24530.45,24620.2,0
2025-06-05 05:30:00,24691.2,24899.85,24613.1,24750.9,0
2025-06-06 05:30:00,24748.7,25029.5,24671.45,25003.05,0
2025-06-09 05:30:00,25160.1,25160.1,25077.15,25103.2,0
2025-06-10 05:30:00,25196.05,25199.3,25055.45,25104.25,0
2025-06-11 05:30:00,25134.15,25222.4,25081.3,25141.4,0
2025-06-12 05:30:00,25164.45,25196.2,24825.9,24888.2,0
2025-06-13 05:30:00,24473.0,24754.35,24473.0,24718.6,0
2025-06-16 05:30:00,24732.35,24967.1,24703.6,24946.5,0
2025-06-17 05:30:00,24977.85,24982.05,24813.7,24853.4,0
2025-06-18 05:30:00,24788.35,24947.55,24750.45,24812.05,0
2025-06-19 05:30:00,24803.25,24863.1,24733.4,24793.25,0
2025-06-20 05:30:00,24787.65,25136.2,24783.65,25112.4,0
2025-06-23 05:30:00,24939.75,25057.0,24824.85,24971.9,0
2025-06-24 05:30:00,25179.9,25317.7,24999.7,25044.35,0
2025-06-25 05:30:00,25150.35,25266.8,25125.05,25244.75,0
2025-06-26 05:30:00,25268.95,25565.3,25259.9,25549.0,0
2025-06-27 05:30:00,25576.65,25654.2,25523.55,25637.8,0
2025-06-30 05:30:00,25661.65,25669.35,25473.3,25517.05,0
2025-07-01 05:30:00,25551.35,25593.4,25501.8,25541.8,268402409
2025-07-02 05:30:00,25588.3,25608.1,25378.75,25453.4,320004664
2025-07-03 05:30:00,25505.1,25587.5,25384.35,25405.3,302490869
2025-07-04 05:30:00,25428.85,25470.25,25331.65,25461.0,197838624
2025-07-07 05:30:00,25450.45,25489.8,25407.25,25461.3,202160265
2025-07-08 05:30:00,25427.85,25548.05,25424.15,25522.5,218378476
2025-07-09 05:30:00,25514.6,25548.7,25424.35,25476.1,246407440
2025-07-10 05:30:00,25511.65,25524.05,25340.45,25355.25,228409402
2025-07-11 05:30:00,25255.5,25322.45,25129.0,25149.85,256616674
2025-07-14 05:30:00,25149.5,25151.1,25001.95,25082.3,266549506
2025-07-15 05:30:00,25089.5,25245.2,25088.45,25195.8,249121518
2025-07-16 05:30:00,25196.6,25255.3,25121.05,25212.05,239218549
2025-07-17 05:30:00,25230.75,25238.35,25101.0,25111.45,254950473
2025-07-18 05:30:00,25108.55,25144.6,24918.65,24968.4,325494375
2025-07-21 05:30:00,24999.0,25111.4,24882.3,25090.7,316849940
2025-07-22 05:30:00,25166.65,25182.0,25035.55,25060.9,491530801
2025-07-23 05:30:00,25139.35,25233.5,25085.5,25219.9,278717223
2025-07-24 05:30:00,25243.3,25246.25,25018.7,25062.1,350968454
2025-07-25 05:30:00,25010.35,25010.35,24806.35,24837.0,284378760
2025-07-28 05:30:00,24782.45,24889.2,24646.6,24680.9,269112728
2025-07-29 05:30:00,24609.65,24847.15,24598.6,24821.1,295506044
2025-07-30 05:30:00,24890.4,24902.3,24771.95,24855.05,251928593
2025-07-31 05:30:00,24642.25,24956.5,24635.0,24768.35,358068253
2025-08-01 05:30:00,24734.9,24784.15,24535.05,24565.35,269720835
2025-08-04 05:30:00,24596.05,24736.25,24554.0,24722.75,266702847
2025-08-05 05:30:00,24720.25,24733.1,24590.3,24649.55,264406774
2025-08-06 05:30:00,24641.35,24671.4,24539.2,24574.2,232694945
2025-08-07 05:30:00,24464.2,24634.2,24344.15,24596.15,623786898
2025-08-08 05:30:00,24544.25,24585.5,24337.5,24363.3,319577789
2025-08-11 05:30:00,24371.5,24600.85,24347.45,24585.05,245698424
2025-08-12 05:30:00,24563.35,24702.6,24465.65,24487.4,243471363
2025-08-13 05:30:00,24586.2,24664.55,24535.25,24619.35,242795489
2025-08-14 05:30:00,24607.25,24673.65,24596.9,24631.3,278918061
2025-08-18 05:30:00,24938.2,25022.0,24852.85,24876.95,372713703
2025-08-19 05:30:00,24891.35,25012.65,24873.95,24980.65,258517047
2025-08-20 05:30:00,24965.8,25088.7,24929.7,25050.55,292029233
2025-08-21 05:30:00,25142.0,25153.65,25054.9,25083.75,232761977
2025-08-22 05:30:00,25064.15,25084.85,24859.15,24870.1,220082135
2025-08-25 05:30:00,24949.15,25021.55,24894.35,24967.75,221791155
2025-08-26 05:30:00,24899.5,24919.65,24689.6,24712.05,750473927
2025-08-28 05:30:00,24695.8,24702.65,24481.6,24500.9,326601486
2025-08-29 05:30:00,24466.7,24572.45,24404.7,24426.85,325543583
2025-09-01 05:30:00,24432.7,24635.6,24432.7,24625.05,229327424
2025-09-02 05:30:00,24653.0,24756.1,24522.35,24579.6,271558516
2025-09-03 05:30:00,24616.5,24737.05,24533.2,24715.05,340283328
2025-09-04 05:30:00,24980.75,24980.75,24708.2,24734.3,314094160
2025-09-05 05:30:00,24818.85,24832.35,24621.6,24741.0,210071924
2025-09-08 05:30:00,24802.6,24885.5,24751.55,24773.15,213228202
2025-09-09 05:30:00,24864.1,24891.8,24814.0,24868.6,226919775
2025-09-10 05:30:00,24991.0,25035.7,24915.05,24973.1,244146466
2025-09-11 05:30:00,24945.5,25037.3,24940.15,25005.5,224570983
2025-09-12 05:30:00,25074.45,25139.45,25038.05,25114.0,225739766
2025-09-15 05:30:00,25118.9,25138.45,25048.75,25069.2,185375759
